SN,Province,District ,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status
245,Province 1,Pachthar,Yangbarak Rural Municipality,Vice-Mayor,,41,F,Communist Party of Nepal (UML),3576,Elected
246,Province 1,Pachthar,Yangbarak Rural Municipality,Ward President,1,49,M,Communist Party of Nepal (UML),419,Elected
247,Province 1,Pachthar,Yangbarak Rural Municipality,Ward Member,1,43,M,Communist Party of Nepal (UML),394,Elected
248,Province 1,Pachthar,Yangbarak Rural Municipality,Ward Member,1,46,M,Communist Party of Nepal (UML),385,Elected
249,Province 1,Pachthar,Yangbarak Rural Municipality,Female Ward Member,1,58,F,Communist Party of Nepal (UML),402,Elected
250,Province 1,Pachthar,Yangbarak Rural Municipality,Dalit Female Ward Member,1,53,F,Communist Party of Nepal (UML),390,Elected
251,Province 1,Pachthar,Yangbarak Rural Municipality,Ward President,2,34,M,Nepali Congress,688,Elected
252,Province 1,Pachthar,Yangbarak Rural Municipality,Ward Member,2,47,M,Nepali Congress,560,Elected
253,Province 1,Pachthar,Yangbarak Rural Municipality,Ward Member,2,36,M,Communist Party of Nepal (UML),537,Elected
254,Province 1,Pachthar,Yangbarak Rural Municipality,Female Ward Member,2,39,F,Nepali Congress,591,Elected
255,Province 1,Pachthar,Yangbarak Rural Municipality,Dalit Female Ward Member,2,41,F,Nepali Congress,597,Elected
256,Province 1,Pachthar,Yangbarak Rural Municipality,Ward President,3,31,M,Nepali Congress,836,Elected
257,Province 1,Pachthar,Yangbarak Rural Municipality,Ward Member,3,30,M,Nepali Congress,786,Elected
258,Province 1,Pachthar,Yangbarak Rural Municipality,Ward Member,3,35,M,Nepali Congress,778,Elected
259,Province 1,Pachthar,Yangbarak Rural Municipality,Female Ward Member,3,39,F,Nepali Congress,823,Elected
260,Province 1,Pachthar,Yangbarak Rural Municipality,Dalit Female Ward Member,3,26,F,Nepali Congress,809,Elected
261,Province 1,Pachthar,Yangbarak Rural Municipality,Ward President,4,60,M,Communist Party of Nepal (UML),571,Elected
262,Province 1,Pachthar,Yangbarak Rural Municipality,Ward Member,4,31,M,Communist Party of Nepal (UML),619,Elected
263,Province 1,Pachthar,Yangbarak Rural Municipality,Ward Member,4,62,M,Communist Party of Nepal (UML),613,Elected
264,Province 1,Pachthar,Yangbarak Rural Municipality,Female Ward Member,4,28,F,Communist Party of Nepal (UML),606,Elected
265,Province 1,Pachthar,Yangbarak Rural Municipality,Dalit Female Ward Member,4,45,F,Communist Party of Nepal (UML),676,Elected
266,Province 1,Pachthar,Yangbarak Rural Municipality,Ward President,5,49,M,Communist Party of Nepal (UML),706,Elected
267,Province 1,Pachthar,Yangbarak Rural Municipality,Ward Member,5,50,M,Communist Party of Nepal (UML),642,Elected
268,Province 1,Pachthar,Yangbarak Rural Municipality,Ward Member,5,58,M,Communist Party of Nepal (UML),624,Elected
269,Province 1,Pachthar,Yangbarak Rural Municipality,Female Ward Member,5,54,F,Communist Party of Nepal (UML),684,Elected
270,Province 1,Pachthar,Yangbarak Rural Municipality,Dalit Female Ward Member,5,41,F,Communist Party of Nepal (UML),697,Elected
271,Province 1,Pachthar,Yangbarak Rural Municipality,Ward President,6,58,M,Communist Party of Nepal (UML),708,Elected
272,Province 1,Pachthar,Yangbarak Rural Municipality,Ward Member,6,57,M,Communist Party of Nepal (UML),667,Elected
273,Province 1,Pachthar,Yangbarak Rural Municipality,Ward Member,6,38,M,Communist Party of Nepal (UML),666,Elected
274,Province 1,Pachthar,Yangbarak Rural Municipality,Female Ward Member,6,58,F,Communist Party of Nepal (UML),733,Elected
275,Province 1,Pachthar,Yangbarak Rural Municipality,Dalit Female Ward Member,6,45,F,Communist Party of Nepal (UML),721,Elected
276,Province 1,Pachthar,Hilihan Rural Municipality,Mayor,,66,M,Communist Party of Nepal (UML),4169,Elected
277,Province 1,Pachthar,Hilihan Rural Municipality,Vice-Mayor,,34,F,Communist Party of Nepal (UML),4255,Elected
278,Province 1,Pachthar,Hilihan Rural Municipality,Ward President,1,55,M,Communist Party of Nepal (UML),552,Elected
279,Province 1,Pachthar,Hilihan Rural Municipality,Ward Member,1,40,M,Communist Party of Nepal (UML),574,Elected
280,Province 1,Pachthar,Hilihan Rural Municipality,Ward Member,1,46,M,Nepali Congress,565,Elected
281,Province 1,Pachthar,Hilihan Rural Municipality,Female Ward Member,1,41,F,Nepali Congress,566,Elected
282,Province 1,Pachthar,Hilihan Rural Municipality,Dalit Female Ward Member,1,40,F,Nepali Congress,550,Elected
283,Province 1,Pachthar,Hilihan Rural Municipality,Ward President,2,33,M,Communist Party of Nepal (UML),527,Elected
284,Province 1,Pachthar,Hilihan Rural Municipality,Ward Member,2,52,M,Communist Party of Nepal (UML),557,Elected
285,Province 1,Pachthar,Hilihan Rural Municipality,Ward Member,2,43,M,Communist Party of Nepal (UML),553,Elected
286,Province 1,Pachthar,Hilihan Rural Municipality,Female Ward Member,2,48,F,Communist Party of Nepal (UML),602,Elected
287,Province 1,Pachthar,Hilihan Rural Municipality,Dalit Female Ward Member,2,25,F,Communist Party of Nepal (UML),602,Elected
288,Province 1,Pachthar,Hilihan Rural Municipality,Ward President,3,40,M,Communist Party of Nepal (UML),489,Elected
289,Province 1,Pachthar,Hilihan Rural Municipality,Ward Member,3,64,M,Communist Party of Nepal (UML),541,Elected
290,Province 1,Pachthar,Hilihan Rural Municipality,Ward Member,3,52,M,Communist Party of Nepal (UML),526,Elected
291,Province 1,Pachthar,Hilihan Rural Municipality,Female Ward Member,3,43,F,Communist Party of Nepal (UML),573,Elected
292,Province 1,Pachthar,Hilihan Rural Municipality,Dalit Female Ward Member,3,38,F,Communist Party of Nepal (UML),555,Elected
293,Province 1,Pachthar,Hilihan Rural Municipality,Ward President,4,33,M,Communist Party of Nepal (UML),538,Elected
294,Province 1,Pachthar,Hilihan Rural Municipality,Ward Member,4,52,M,Communist Party of Nepal (UML),524,Elected
295,Province 1,Pachthar,Hilihan Rural Municipality,Ward Member,4,62,M,Communist Party of Nepal (UML),509,Elected
296,Province 1,Pachthar,Hilihan Rural Municipality,Female Ward Member,4,63,F,Communist Party of Nepal (UML),495,Elected
297,Province 1,Pachthar,Hilihan Rural Municipality,Dalit Female Ward Member,4,29,F,Communist Party of Nepal (UML),524,Elected
298,Province 1,Pachthar,Hilihan Rural Municipality,Ward President,5,61,M,Communist Party of Nepal (UML),706,Elected
299,Province 1,Pachthar,Hilihan Rural Municipality,Ward Member,5,29,M,Communist Party of Nepal (UML),758,Elected
300,Province 1,Pachthar,Hilihan Rural Municipality,Ward Member,5,57,M,Communist Party of Nepal (UML),713,Elected
301,Province 1,Pachthar,Hilihan Rural Municipality,Female Ward Member,5,45,F,Communist Party of Nepal (UML),737,Elected
302,Province 1,Pachthar,Hilihan Rural Municipality,Dalit Female Ward Member,5,49,F,Communist Party of Nepal (UML),731,Elected
303,Province 1,Pachthar,Hilihan Rural Municipality,Ward President,6,60,M,Communist Party of Nepal (UML),618,Elected
304,Province 1,Pachthar,Hilihan Rural Municipality,Ward Member,6,48,M,Communist Party of Nepal (UML),623,Elected
305,Province 1,Pachthar,Hilihan Rural Municipality,Ward Member,6,38,M,Communist Party of Nepal (UML),565,Elected
306,Province 1,Pachthar,Hilihan Rural Municipality,Female Ward Member,6,22,F,Communist Party of Nepal (UML),625,Elected
307,Province 1,Pachthar,Hilihan Rural Municipality,Dalit Female Ward Member,6,45,F,Communist Party of Nepal (UML),605,Elected
308,Province 1,Pachthar,Hilihan Rural Municipality,Ward President,7,63,M,Communist Party of Nepal (UML),719,Elected
309,Province 1,Pachthar,Hilihan Rural Municipality,Ward Member,7,44,M,Communist Party of Nepal (UML),700,Elected
310,Province 1,Pachthar,Hilihan Rural Municipality,Ward Member,7,57,M,Communist Party of Nepal (UML),643,Elected
311,Province 1,Pachthar,Hilihan Rural Municipality,Female Ward Member,7,47,F,Communist Party of Nepal (UML),707,Elected
312,Province 1,Pachthar,Hilihan Rural Municipality,Dalit Female Ward Member,7,38,F,Communist Party of Nepal (UML),699,Elected
313,Province 1,Jhapa,Arjundhara Urban Municipality,Mayor,,59,M,Communist Party of Nepal (UML),13879,Elected
314,Province 1,Jhapa,Arjundhara Urban Municipality,Vice-Mayor,,55,F,Communist Party of Nepal (UML),12831,Elected
315,Province 1,Jhapa,Arjundhara Urban Municipality,Ward President,1,52,M,Communist Party of Nepal (UML),1175,Elected
316,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,1,61,M,Communist Party of Nepal (UML),1212,Elected
317,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,1,49,M,Communist Party of Nepal (UML),1198,Elected
318,Province 1,Jhapa,Arjundhara Urban Municipality,Female Ward Member,1,36,F,Communist Party of Nepal (UML),1277,Elected
319,Province 1,Jhapa,Arjundhara Urban Municipality,Dalit Female Ward Member,1,31,F,Communist Party of Nepal (UML),1273,Elected
320,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,2,60,M,Communist Party of Nepal (UML),957,Elected
321,Province 1,Jhapa,Arjundhara Urban Municipality,Ward President,2,37,M,Communist Party of Nepal (UML),1014,Elected
322,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,2,47,M,Communist Party of Nepal (UML),893,Elected
323,Province 1,Jhapa,Arjundhara Urban Municipality,Female Ward Member,2,35,F,Communist Party of Nepal (UML),979,Elected
324,Province 1,Jhapa,Arjundhara Urban Municipality,Dalit Female Ward Member,2,38,F,Communist Party of Nepal (UML),990,Elected
325,Province 1,Jhapa,Arjundhara Urban Municipality,Ward President,3,47,M,Nepali Congress,1227,Elected
326,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,3,39,M,Nepali Congress,1206,Elected
327,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,3,39,M,Communist Party of Nepal (UML),1163,Elected
328,Province 1,Jhapa,Arjundhara Urban Municipality,Female Ward Member,3,49,F,Communist Party of Nepal (UML),1201,Elected
329,Province 1,Jhapa,Arjundhara Urban Municipality,Dalit Female Ward Member,3,47,F,Communist Party of Nepal (UML),1190,Elected
330,Province 1,Jhapa,Arjundhara Urban Municipality,Ward President,4,43,M,Communist Party of Nepal (UML),1118,Elected
331,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,4,57,M,Communist Party of Nepal (UML),1042,Elected
332,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,4,60,M,Communist Party of Nepal (UML),1003,Elected
333,Province 1,Jhapa,Arjundhara Urban Municipality,Female Ward Member,4,39,F,Communist Party of Nepal (UML),1116,Elected
334,Province 1,Jhapa,Arjundhara Urban Municipality,Dalit Female Ward Member,4,31,F,Communist Party of Nepal (UML),1103,Elected
335,Province 1,Jhapa,Arjundhara Urban Municipality,Ward President,5,54,M,Communist Party of Nepal (UML),1164,Elected
336,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,5,60,M,Communist Party of Nepal (UML),1248,Elected
337,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,5,61,M,Communist Party of Nepal (UML),1216,Elected
338,Province 1,Jhapa,Arjundhara Urban Municipality,Female Ward Member,5,43,F,Communist Party of Nepal (UML),1380,Elected
339,Province 1,Jhapa,Arjundhara Urban Municipality,Dalit Female Ward Member,5,34,F,Communist Party of Nepal (UML),1351,Elected
340,Province 1,Jhapa,Arjundhara Urban Municipality,Ward President,6,55,M,Communist Party of Nepal (UML),788,Elected
341,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,6,38,M,Communist Party of Nepal (UML),1142,Elected
342,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,6,49,M,Communist Party of Nepal (UML),1052,Elected
343,Province 1,Jhapa,Arjundhara Urban Municipality,Female Ward Member,6,40,F,Communist Party of Nepal (UML),1093,Elected
344,Province 1,Jhapa,Arjundhara Urban Municipality,Dalit Female Ward Member,6,40,F,Communist Party of Nepal (UML),1086,Elected
345,Province 1,Jhapa,Arjundhara Urban Municipality,Ward President,7,43,M,Nepali Congress,942,Elected
346,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,7,49,M,Nepali Congress,925,Elected
347,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,7,53,M,Communist Party of Nepal (UML),924,Elected
348,Province 1,Jhapa,Arjundhara Urban Municipality,Female Ward Member,7,52,F,Communist Party of Nepal (UML),950,Elected
349,Province 1,Jhapa,Arjundhara Urban Municipality,Dalit Female Ward Member,7,35,F,Nepali Congress,947,Elected
350,Province 1,Jhapa,Arjundhara Urban Municipality,Ward President,8,58,M,Nepali Congress,974,Elected
351,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,8,54,M,Nepali Congress,988,Elected
352,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,8,52,M,Nepali Congress,984,Elected
353,Province 1,Jhapa,Arjundhara Urban Municipality,Female Ward Member,8,58,F,Nepali Congress,1046,Elected
354,Province 1,Jhapa,Arjundhara Urban Municipality,Dalit Female Ward Member,8,30,F,Nepali Congress,1066,Elected
355,Province 1,Jhapa,Arjundhara Urban Municipality,Ward President,9,52,M,Communist Party of Nepal (UML),1229,Elected
356,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,9,61,M,Communist Party of Nepal (UML),1359,Elected
357,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,9,29,M,Communist Party of Nepal (UML),1204,Elected
358,Province 1,Jhapa,Arjundhara Urban Municipality,Female Ward Member,9,45,F,Communist Party of Nepal (UML),1401,Elected
359,Province 1,Jhapa,Arjundhara Urban Municipality,Dalit Female Ward Member,9,52,F,Communist Party of Nepal (UML),1270,Elected
360,Province 1,Jhapa,Arjundhara Urban Municipality,Ward President,10,43,M,Communist Party of Nepal (UML),1178,Elected
361,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,10,59,M,Communist Party of Nepal (UML),1057,Elected
362,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,10,50,M,Communist Party of Nepal (UML),1045,Elected
363,Province 1,Jhapa,Arjundhara Urban Municipality,Female Ward Member,10,41,F,Communist Party of Nepal (UML),1191,Elected
364,Province 1,Jhapa,Arjundhara Urban Municipality,Dalit Female Ward Member,10,36,F,Communist Party of Nepal (UML),1154,Elected
365,Province 1,Jhapa,Arjundhara Urban Municipality,Ward President,11,62,M,Communist Party of Nepal (UML),1489,Elected
366,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,11,47,M,Communist Party of Nepal (UML),1431,Elected
367,Province 1,Jhapa,Arjundhara Urban Municipality,Ward Member,11,49,M,Communist Party of Nepal (UML),1397,Elected
368,Province 1,Jhapa,Arjundhara Urban Municipality,Female Ward Member,11,42,F,Communist Party of Nepal (UML),1518,Elected
369,Province 1,Jhapa,Arjundhara Urban Municipality,Dalit Female Ward Member,11,32,F,Communist Party of Nepal (UML),1513,Elected
370,Province 1,Jhapa,Kachanakawal Rural Municipality,Mayor,,49,M,Rastriya Prajatantra Party,5816,Elected
371,Province 1,Jhapa,Kachanakawal Rural Municipality,Vice-Mayor,,37,F,Rastriya Prajatantra Party,5774,Elected
372,Province 1,Jhapa,Kachanakawal Rural Municipality,Ward President,1,48,M,Rastriya Prajatantra Party,860,Elected
373,Province 1,Jhapa,Kachanakawal Rural Municipality,Ward Member,1,35,M,Nepali Congress,988,Elected
374,Province 1,Jhapa,Kachanakawal Rural Municipality,Ward Member,1,40,M,Nepali Congress,803,Elected
375,Province 1,Jhapa,Kachanakawal Rural Municipality,Female Ward Member,1,37,F,Rastriya Prajatantra Party,816,Elected
376,Province 1,Jhapa,Kachanakawal Rural Municipality,Dalit Female Ward Member,1,35,F,Nepali Congress,858,Elected
377,Province 1,Jhapa,Kachanakawal Rural Municipality,Ward President,2,55,M,Communist Party of Nepal (UML),679,Elected
378,Province 1,Jhapa,Kachanakawal Rural Municipality,Ward Member,2,40,M,Nepali Congress,560,Elected
379,Province 1,Jhapa,Kachanakawal Rural Municipality,Ward Member,2,58,M,Communist Party of Nepal (UML),492,Elected
380,Province 1,Jhapa,Kachanakawal Rural Municipality,Female Ward Member,2,46,F,Communist Party of Nepal (UML),746,Elected
381,Province 1,Jhapa,Kachanakawal Rural Municipality,Dalit Female Ward Member,2,24,F,Communist Party of Nepal (UML),684,Elected
382,Province 1,Jhapa,Kachanakawal Rural Municipality,Ward President,3,36,M,Rastriya Prajatantra Party,877,Elected
383,Province 1,Jhapa,Kachanakawal Rural Municipality,Ward Member,3,56,M,Rastriya Prajatantra Party,820,Elected
384,Province 1,Jhapa,Kachanakawal Rural Municipality,Ward Member,3,34,M,Rastriya Prajatantra Party,761,Elected
385,Province 1,Jhapa,Kachanakawal Rural Municipality,Female Ward Member,3,49,F,Rastriya Prajatantra Party,854,Elected
386,Province 1,Jhapa,Kachanakawal Rural Municipality,Dalit Female Ward Member,3,33,F,Rastriya Prajatantra Party,839,Elected
387,Province 1,Jhapa,Kachanakawal Rural Municipality,Ward President,4,58,M,Nepali Congress,787,Elected
388,Province 1,Jhapa,Kachanakawal Rural Municipality,Ward Member,4,63,M,Nepali Congress,670,Elected
389,Province 1,Jhapa,Kachanakawal Rural Municipality,Ward Member,4,58,M,Rastriya Prajatantra Party,575,Elected
390,Province 1,Jhapa,Kachanakawal Rural Municipality,Female Ward Member,4,32,F,Nepali Congress,725,Elected
391,Province 1,Jhapa,Kachanakawal Rural Municipality,Ward President,5,64,M,Rastriya Prajatantra Party,837,Elected
392,Province 1,Jhapa,Kachanakawal Rural Municipality,Ward Member,5,41,M,Rastriya Prajatantra Party,804,Elected
393,Province 1,Jhapa,Kachanakawal Rural Municipality,Ward Member,5,42,M,Rastriya Prajatantra Party,749,Elected
394,Province 1,Jhapa,Kachanakawal Rural Municipality,Female Ward Member,5,38,F,Rastriya Prajatantra Party,870,Elected
