SN,Province,District,Administrative Division,Position,Ward,Age,Gender,Party,Votes,Status
845,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward Member,2,61,F,Communist Party of Nepal (UML),314,Elected
846,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward Member,2,64,M,Communist Party of Nepal (UML),275,Elected
847,Province 7,Bajhang,Kedarsyun Rural Municipality,Female Ward Member,2,44,F,Communist Party of Nepal (UML),304,Elected
848,Province 7,Bajhang,Kedarsyun Rural Municipality,Dalit Female Ward Member,2,47,F,Communist Party of Nepal (UML),297,Elected
849,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward President,3,46,M,Communist Party of Nepal (UML),345,Elected
850,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward Member,3,28,M,Communist Party of Nepal (UML),335,Elected
851,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward Member,3,38,M,Communist Party of Nepal (UML),318,Elected
852,Province 7,Bajhang,Kedarsyun Rural Municipality,Female Ward Member,3,59,F,Communist Party of Nepal (UML),316,Elected
853,Province 7,Bajhang,Kedarsyun Rural Municipality,Dalit Female Ward Member,3,69,F,Communist Party of Nepal (UML),327,Elected
854,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward President,4,47,M,Nepali Congress,276,Elected
855,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward Member,4,47,M,Nepali Congress,341,Elected
856,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward Member,4,31,M,Communist Party of Nepal (UML),323,Elected
857,Province 7,Bajhang,Kedarsyun Rural Municipality,Female Ward Member,4,44,F,Nepali Congress,339,Elected
858,Province 7,Bajhang,Kedarsyun Rural Municipality,Dalit Female Ward Member,4,50,F,Nepali Congress,361,Elected
859,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward President,5,47,M,Communist Party of Nepal (UML),292,Elected
860,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward Member,5,45,M,Communist Party of Nepal (UML),311,Elected
861,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward Member,5,43,M,Nepali Congress,270,Elected
862,Province 7,Bajhang,Kedarsyun Rural Municipality,Female Ward Member,5,31,F,Communist Party of Nepal (UML),289,Elected
863,Province 7,Bajhang,Kedarsyun Rural Municipality,Dalit Female Ward Member,5,22,F,Communist Party of Nepal (UML),284,Elected
864,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward President,6,40,M,Nepali Congress,320,Elected
865,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward Member,6,59,M,Nepali Congress,335,Elected
866,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward Member,6,45,M,Communist Party of Nepal (UML),330,Elected
867,Province 7,Bajhang,Kedarsyun Rural Municipality,Female Ward Member,6,34,F,Nepali Congress,325,Elected
868,Province 7,Bajhang,Kedarsyun Rural Municipality,Dalit Female Ward Member,6,52,F,Nepali Congress,322,Elected
869,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward President,7,49,M,Communist Party of Nepal (Maoist Centre),302,Elected
870,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward Member,7,30,M,Communist Party of Nepal (Maoist Centre),333,Elected
871,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward Member,7,53,M,Communist Party of Nepal (Maoist Centre),304,Elected
872,Province 7,Bajhang,Kedarsyun Rural Municipality,Female Ward Member,7,22,F,Communist Party of Nepal (Maoist Centre),316,Elected
873,Province 7,Bajhang,Kedarsyun Rural Municipality,Dalit Female Ward Member,7,33,F,Communist Party of Nepal (Maoist Centre),319,Elected
874,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward President,8,37,M,Communist Party of Nepal (UML),499,Elected
875,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward Member,8,45,M,Communist Party of Nepal (UML),509,Elected
876,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward Member,8,46,M,Communist Party of Nepal (UML),503,Elected
877,Province 7,Bajhang,Kedarsyun Rural Municipality,Female Ward Member,8,26,F,Communist Party of Nepal (UML),507,Elected
878,Province 7,Bajhang,Kedarsyun Rural Municipality,Dalit Female Ward Member,8,38,F,Communist Party of Nepal (UML),509,Elected
879,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward President,9,50,M,Nepali Congress,333,Elected
880,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward Member,9,51,M,Nepali Congress,299,Elected
881,Province 7,Bajhang,Kedarsyun Rural Municipality,Ward Member,9,46,M,Communist Party of Nepal (UML),258,Elected
882,Province 7,Bajhang,Kedarsyun Rural Municipality,Female Ward Member,9,22,F,Nepali Congress,298,Elected
883,Province 7,Bajhang,Kedarsyun Rural Municipality,Dalit Female Ward Member,9,66,F,Nepali Congress,304,Elected
884,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Mayor,  ,53,M,Nepali Congress,2279,Elected
885,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Vice-Mayor,  ,59,F,Communist Party of Nepal (UML),2252,Elected
886,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward President,1,61,M,Communist Party of Nepal (UML),288,Elected
887,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward Member,1,33,M,Communist Party of Nepal (UML),246,Elected
888,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward Member,1,58,M,Communist Party of Nepal (UML),236,Elected
889,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Female Ward Member,1,32,F,Communist Party of Nepal (UML),251,Elected
890,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Dalit Female Ward Member,1,51,F,Communist Party of Nepal (UML),271,Elected
891,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward President,2,57,M,Communist Party of Nepal (Maoist Centre),290,Elected
892,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward Member,2,50,M,Communist Party of Nepal (UML),312,Elected
893,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward Member,2,48,M,Communist Party of Nepal (UML),280,Elected
894,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Female Ward Member,2,25,F,Nepali Congress,293,Elected
895,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Dalit Female Ward Member,2,51,F,Communist Party of Nepal (UML),291,Elected
896,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward President,3,32,M,Nepali Congress,303,Elected
897,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward Member,3,48,M,Nepali Congress,286,Elected
898,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward Member,3,79,F,Nepali Congress,263,Elected
899,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Female Ward Member,3,46,F,Nepali Congress,259,Elected
900,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Dalit Female Ward Member,3,33,F,Nepali Congress,261,Elected
901,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward President,4,38,M,Nepali Congress,436,Elected
902,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward Member,4,58,F,Nepali Congress,384,Elected
903,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward Member,4,42,M,Nepali Congress,336,Elected
904,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Female Ward Member,4,50,F,Nepali Congress,427,Elected
905,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Dalit Female Ward Member,4,42,F,Nepali Congress,418,Elected
906,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward President,5,36,M,Communist Party of Nepal (UML),411,Elected
907,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward Member,5,66,M,Communist Party of Nepal (UML),425,Elected
908,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward Member,5,54,M,Communist Party of Nepal (UML),339,Elected
909,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Female Ward Member,5,31,F,Communist Party of Nepal (UML),362,Elected
910,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Dalit Female Ward Member,5,55,F,Communist Party of Nepal (UML),372,Elected
911,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward President,6,27,M,Nepali Congress,388,Elected
912,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward Member,6,25,M,Nepali Congress,356,Elected
913,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward Member,6,55,M,Communist Party of Nepal (UML),354,Elected
914,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Female Ward Member,6,31,F,Nepali Congress,361,Elected
915,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Dalit Female Ward Member,6,30,F,Nepali Congress,372,Elected
916,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward President,7,35,M,Nepali Congress,453,Elected
917,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward Member,7,61,M,Nepali Congress,462,Elected
918,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Ward Member,7,60,M,Nepali Congress,403,Elected
919,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Female Ward Member,7,25,F,Nepali Congress,472,Elected
920,Province 7,Bajhang,Khaptad Chhanna Rural Municipality,Dalit Female Ward Member,7,50,F,Nepali Congress,436,Elected
921,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Mayor,  ,46,M,Communist Party of Nepal (UML),2289,Elected
922,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Vice-Mayor,  ,30,F,Communist Party of Nepal (UML),2223,Elected
923,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Ward President,1,34,M,Communist Party of Nepal (UML),365,Elected
924,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Ward Member,1,47,M,Communist Party of Nepal (UML),348,Elected
925,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Ward Member,1,62,M,Communist Party of Nepal (UML),327,Elected
926,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Female Ward Member,1,29,F,Communist Party of Nepal (UML),386,Elected
927,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Dalit Female Ward Member,1,47,F,Communist Party of Nepal (UML),375,Elected
928,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Ward President,2,32,M,Communist Party of Nepal (UML),253,Elected
929,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Ward Member,2,36,M,Communist Party of Nepal (UML),270,Elected
930,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Ward Member,2,33,M,Communist Party of Nepal (UML),260,Elected
931,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Female Ward Member,2,24,F,Communist Party of Nepal (UML),255,Elected
932,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Dalit Female Ward Member,2,32,F,Communist Party of Nepal (UML),273,Elected
933,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Ward President,3,50,M,Communist Party of Nepal (UML),424,Elected
934,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Ward Member,3,60,M,Communist Party of Nepal (UML),453,Elected
935,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Ward Member,3,50,M,Communist Party of Nepal (UML),438,Elected
936,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Female Ward Member,3,34,F,Communist Party of Nepal (UML),418,Elected
937,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Dalit Female Ward Member,3,44,F,Communist Party of Nepal (UML),429,Elected
938,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Ward President,4,46,M,Communist Party of Nepal (UML),339,Elected
939,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Ward Member,4,50,M,Communist Party of Nepal (UML),327,Elected
940,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Ward Member,4,31,M,Communist Party of Nepal (UML),297,Elected
941,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Female Ward Member,4,26,F,Communist Party of Nepal (UML),319,Elected
942,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Dalit Female Ward Member,4,35,F,Communist Party of Nepal (UML),317,Elected
943,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Ward President,5,28,M,Communist Party of Nepal (UML),358,Elected
944,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Ward Member,5,53,M,Communist Party of Nepal (UML),360,Elected
945,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Ward Member,5,60,M,Communist Party of Nepal (UML),340,Elected
946,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Female Ward Member,5,26,F,Communist Party of Nepal (UML),361,Elected
947,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Dalit Female Ward Member,5,36,F,Communist Party of Nepal (UML),351,Elected
948,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Ward President,6,35,M,Communist Party of Nepal (Maoist Centre),413,Elected
949,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Ward Member,6,39,F,Communist Party of Nepal (Maoist Centre),451,Elected
950,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Ward Member,6,33,M,Communist Party of Nepal (Maoist Centre),435,Elected
951,Province 7,Bajhang,Chhabis Pathibhara Rural Municipality,Female Ward Member,6,34,F,Communist Party of Nepal (Maoist Centre),445,Elected
